"HAS",80.01,"4/4/2016","10:49am",+0.82,79.37,80.44,79.29,183744
"HBAN",9.565,"4/4/2016","10:48am",+0.005,9.600,9.610,9.460,4095225
"HBI",28.17,"4/4/2016","10:48am",-0.26,28.37,28.51,28.11,315970
"HCA",78.51,"4/4/2016","10:49am",-0.69,79.25,79.25,78.44,337384
"HCN",69.55,"4/4/2016","10:49am",+0.39,69.39,69.81,69.17,229650
"HCP",33.08,"4/4/2016","10:48am",+0.47,32.77,33.23,32.64,527551
"HD",134.76,"4/4/2016","10:48am",-0.09,136.07,136.23,134.70,1056034
"HES",52.43,"4/4/2016","10:48am",+0.40,52.54,52.88,51.59,611385
"HIG",46.46,"4/4/2016","10:49am",-0.34,46.75,46.87,46.46,458079
"HOG",51.735,"4/4/2016","10:49am",+0.075,51.650,52.000,51.400,363433
"HOLX",35.07,"4/4/2016","10:48am",+0.47,34.69,35.25,34.52,643751
"HON",112.74,"4/4/2016","10:48am",-0.49,113.42,113.42,112.53,321398
"HOT",79.38,"4/4/2016","10:49am",+0.00,79.32,79.60,79.08,1029883
"HP",57.79,"4/4/2016","10:49am",+1.16,56.93,57.94,55.96,457641
"HPE",18.04,"4/4/2016","10:49am",-0.36,18.45,18.45,18.04,1187705
"HPQ",12.09,"4/4/2016","10:49am",-0.17,12.24,12.30,12.09,3110627
"HRB",26.46,"4/4/2016","10:49am",+0.23,26.24,26.50,26.20,552234
"HRL",43.33,"4/4/2016","10:49am",-0.58,43.93,43.98,43.24,529587
"HRS",77.56,"4/4/2016","10:49am",-0.24,77.82,77.93,77.35,204847
"HSIC",171.90,"4/4/2016","10:48am",-1.00,172.69,173.14,171.76,52220
"HST",15.975,"4/4/2016","10:49am",-0.085,16.000,16.040,15.870,1926754
"HSY",92.52,"4/4/2016","10:49am",-1.19,93.81,94.17,92.33,207705
"HUM",185.00,"4/4/2016","10:48am",+0.26,185.00,187.80,184.21,231302
"IBM",152.791,"4/4/2016","10:49am",+0.271,152.340,153.210,152.020,643236
"ICE",235.08,"4/4/2016","10:48am",-0.62,235.25,235.26,232.84,175946
"IFF",114.895,"4/4/2016","10:49am",-1.485,116.440,116.440,114.650,85430
"ILMN",166.70,"4/4/2016","10:48am",-0.16,167.75,169.83,166.12,211767
"INTC",32.115,"4/4/2016","10:49am",-0.335,32.220,32.380,31.980,5020849
"INTU",104.98,"4/4/2016","10:49am",+0.29,104.91,105.28,104.63,166093
"IP",40.84,"4/4/2016","10:49am",-0.13,41.02,41.12,40.78,609790
"IPG",22.995,"4/4/2016","10:49am",-0.075,23.160,23.270,22.995,808064
"IR",61.70,"4/4/2016","10:48am",-0.38,61.96,62.04,61.48,255574
"IRM",32.60,"4/4/2016","10:48am",-0.13,32.72,32.73,32.48,229117
"ISRG",616.12,"4/4/2016","10:49am",+9.62,607.50,616.75,603.28,74894
"ITW",103.02,"4/4/2016","10:48am",-0.42,103.47,103.70,102.92,255087
"IVZ",31.45,"4/4/2016","10:49am",+0.07,31.34,31.56,31.05,918581
"JBHT",85.01,"4/4/2016","10:48am",+0.52,84.83,85.26,84.24,83726
"JCI",39.07,"4/4/2016","10:49am",-0.08,39.19,39.19,38.81,777440
"JEC",43.23,"4/4/2016","10:48am",-0.53,43.72,43.77,43.23,90171
"JNJ",108.52,"4/4/2016","10:49am",-0.67,108.82,109.10,108.51,1457918
"JNPR",25.225,"4/4/2016","10:49am",-0.335,25.450,25.510,24.920,1229758
"JPM",59.29,"4/4/2016","10:48am",-0.14,59.44,59.56,58.96,3714010
"JWN",56.84,"4/4/2016","10:48am",-0.39,57.15,57.42,56.77,253646
"K",77.425,"4/4/2016","10:49am",-0.435,77.880,77.955,77.000,540945
"KEY",11.105,"4/4/2016","10:49am",+0.135,10.940,11.220,10.890,3385712
"KHC",78.60,"4/4/2016","10:49am",-0.48,78.97,79.09,78.38,854702
"KIM",28.35,"4/4/2016","10:49am",-0.28,28.64,28.68,28.35,284490
"KLAC",72.65,"4/4/2016","10:48am",-0.40,73.16,73.23,72.56,158991
"KMB",135.74,"4/4/2016","10:49am",-0.46,136.18,136.90,135.61,285265
"KMI",17.4601,"4/4/2016","10:49am",+0.1501,17.3200,17.5800,17.1462,4221582
"KMX",51.24,"4/4/2016","10:49am",-0.51,51.74,51.75,51.22,649720
"KO",46.5946,"4/4/2016","10:49am",-0.2354,46.8400,46.9300,46.5001,2946257
"KORS",58.04,"4/4/2016","10:49am",+1.07,57.39,58.63,56.88,751978
"KR",38.17,"4/4/2016","10:49am",-0.15,38.32,38.46,38.13,1213166
"KSS",46.08,"4/4/2016","10:48am",+0.34,45.92,46.41,45.72,316122
"KSU",86.82,"4/4/2016","10:49am",+1.00,85.63,87.11,85.32,223919
"L",38.40,"4/4/2016","10:48am",-0.13,38.60,38.62,38.36,96911
"LB",87.06,"4/4/2016","10:48am",-1.02,88.10,88.37,87.06,133135
"LEG",48.565,"4/4/2016","10:49am",+0.045,48.410,48.930,48.410,161406
"LEN",46.87,"4/4/2016","10:48am",-0.58,47.45,47.50,46.81,517473
"LH",118.21,"4/4/2016","10:49am",-0.22,118.63,119.40,118.04,62818
"LLL",119.20,"4/4/2016","10:48am",+0.66,118.27,119.86,118.03,56359
"LLTC",44.75,"4/4/2016","10:49am",-0.25,45.07,45.10,44.72,345887
"LLY",73.21,"4/4/2016","10:48am",-0.21,73.56,73.79,73.20,560289
"LM",33.57,"4/4/2016","10:49am",-0.90,34.33,34.38,33.50,450276
"LMT",223.5706,"4/4/2016","10:48am",+0.4606,223.2200,224.9000,223.1500,200476
"LNC",39.85,"4/4/2016","10:49am",+0.04,39.75,40.06,39.40,356311
"LOW",76.49,"4/4/2016","10:49am",-0.01,77.50,77.50,76.48,872498
"LRCX",82.15,"4/4/2016","10:49am",-0.78,82.98,82.98,81.82,515785
"LUK",16.21,"4/4/2016","10:48am",-0.02,16.23,16.27,16.03,272467
"LUV",44.874,"4/4/2016","10:49am",+0.314,44.760,45.105,44.200,1391947
"LVLT",53.015,"4/4/2016","10:49am",-0.045,53.260,53.520,52.900,318426
"LYB",87.03,"4/4/2016","10:49am",+0.20,86.74,87.68,86.30,566848
"M",42.7429,"4/4/2016","10:49am",-0.2171,43.1000,43.1300,42.7100,1066874
"MA",94.58,"4/4/2016","10:49am",-1.29,96.01,96.10,94.58,1161289
"MAC",79.18,"4/4/2016","10:49am",-0.62,79.91,80.12,79.15,92086
"MAR",67.01,"4/4/2016","10:49am",-0.12,67.13,67.36,66.73,1270795
"MAS",31.645,"4/4/2016","10:48am",-0.395,32.000,32.080,31.640,585487
"MAT",34.22,"4/4/2016","10:48am",-0.04,34.49,34.75,34.04,769795
"MCD",127.07,"4/4/2016","10:49am",+0.05,127.05,127.64,126.89,947294
"MCHP",48.02,"4/4/2016","10:48am",-0.26,48.18,48.34,47.84,624402
"MCK",160.39,"4/4/2016","10:49am",+2.98,157.24,161.78,157.00,376944
"MCO",96.98,"4/4/2016","10:49am",-0.58,97.69,98.11,96.95,119031
"MDLZ",41.025,"4/4/2016","10:49am",-0.215,41.140,41.290,40.830,1864346
"MDT",76.35,"4/4/2016","10:49am",+0.98,75.92,76.68,75.69,1901569
"MET",44.1201,"4/4/2016","10:49am",-0.4399,44.6300,44.6300,44.1201,839709
"MHFI",98.61,"4/4/2016","10:48am",-0.69,99.00,99.13,98.07,187823
"MHK",190.61,"4/4/2016","10:48am",-1.80,192.62,192.62,190.35,34635
"MJN",83.95,"4/4/2016","10:49am",-2.11,83.90,84.45,82.43,815014
"MKC",99.79,"4/4/2016","10:49am",-0.74,100.50,100.91,99.53,216020
"MLM",159.62,"4/4/2016","10:48am",-2.43,161.50,161.50,159.19,100720
"MMC",61.31,"4/4/2016","10:48am",-0.06,61.36,61.61,61.25,280616
"MMM",166.675,"4/4/2016","10:49am",-0.855,167.110,167.490,166.430,501300
"MNK",64.09,"4/4/2016","10:49am",-0.22,64.18,64.50,63.04,554614
"MNST",133.94,"4/4/2016","10:49am",-0.85,134.84,135.41,133.65,161646
"MO",62.87,"4/4/2016","10:49am",-0.19,63.03,63.29,62.67,1152789
"MON",87.40,"4/4/2016","10:48am",-0.47,87.84,88.30,87.38,503393
"MOS",26.36,"4/4/2016","10:49am",-0.48,26.38,26.65,26.11,1138062
"MPC",36.98,"4/4/2016","10:49am",+0.59,36.05,37.23,36.00,861500
"MRK",54.24,"4/4/2016","10:49am",+0.54,53.91,54.30,53.75,2288257
"MRO",10.92,"4/4/2016","10:49am",+0.36,10.52,11.00,10.41,7204847
"MS",25.285,"4/4/2016","10:49am",-0.245,25.490,25.510,24.970,3446258
"MSFT",55.195,"4/4/2016","10:49am",-0.375,55.410,55.660,55.000,5148193
"MSI",75.94,"4/4/2016","10:48am",-0.17,75.40,76.00,75.13,360727
"MTB",112.59,"4/4/2016","10:48am",+0.17,112.15,112.97,111.59,58311
"MU",11.105,"4/4/2016","10:49am",+0.075,11.060,11.220,10.775,7815172
"MUR",24.51,"4/4/2016","10:49am",+0.25,24.29,24.70,23.56,825206
"MYL",48.13,"4/4/2016","10:49am",+0.63,47.49,48.46,47.40,663073
"NAVI",11.8404,"4/4/2016","10:48am",+0.1904,11.6200,11.9000,11.5300,659204
"NBL",30.92,"4/4/2016","10:49am",+0.06,31.22,31.53,30.52,721257
"NDAQ",65.29,"4/4/2016","10:49am",-0.80,66.39,66.39,65.21,270632
"NEE",118.39,"4/4/2016","10:48am",-0.32,119.03,119.18,117.94,266892
"NEM",26.37,"4/4/2016","10:49am",-0.25,26.60,26.61,26.12,1195231
"NFLX",103.91,"4/4/2016","10:49am",-1.79,105.90,105.92,103.71,4077539
"NFX",32.91,"4/4/2016","10:49am",+0.28,32.71,33.15,32.24,533908
"NI",23.51,"4/4/2016","10:48am",-0.31,23.81,23.92,23.42,549400
"NKE",60.36,"4/4/2016","10:49am",-1.23,61.73,61.85,60.34,4044442
